Method,Dimension,Lambda,ARL,h
MEWMA,25,0.7,500,54.41163532
MEWMA,25,0.7,1000,58.43531552
MEWMA,25,0.7,2000,62.3862421
MEWMA,25,0.8,100,44.44481658
MEWMA,25,0.8,200,48.804636
MEWMA,25,0.8,500,54.47656567
MEWMA,25,0.8,1000,58.5050474
MEWMA,25,0.8,2000,62.46068869
MEWMA,25,0.9,100,44.48013228
MEWMA,25,0.9,200,48.864172
MEWMA,25,0.9,500,54.51985257
MEWMA,25,0.9,1000,58.55153532
MEWMA,25,0.9,2000,62.51031975
MEWMA,25,0.95,100,44.49779013
MEWMA,25,0.95,200,48.89394
MEWMA,25,0.95,500,54.54149602
MEWMA,25,0.95,1000,58.57477928
MEWMA,25,0.95,2000,62.53513528
MEWMA,50,0.05,100,48.209276
MEWMA,50,0.05,200,52.5301012
MEWMA,50,0.05,500,58.0937404
MEWMA,50,0.05,1000,62.1020016
MEWMA,50,0.05,2000,65.9316548
MEWMA,50,0.1,100,51.1682152
MEWMA,50,0.1,200,55.420574
MEWMA,50,0.1,500,60.7356504
MEWMA,50,0.1,1000,64.537024
MEWMA,50,0.1,2000,68.1359752
MEWMA,50,0.2,100,53.6077028
MEWMA,50,0.2,200,57.6412668
MEWMA,50,0.2,500,62.6408024
MEWMA,50,0.2,1000,66.2084972
MEWMA,50,0.2,2000,69.634794
MEWMA,50,0.3,100,53.03783427
MEWMA,50,0.3,200,58.45214712
MEWMA,50,0.3,500,65.00913457
MEWMA,50,0.3,1000,69.81648811
MEWMA,50,0.3,2000,74.53691814
MEWMA,50,0.4,100,53.61948396
MEWMA,50,0.4,200,58.97874304
MEWMA,50,0.4,500,65.72206984
MEWMA,50,0.4,1000,70.58214416
MEWMA,50,0.4,2000,75.3543417
MEWMA,50,0.5,100,53.92108009
MEWMA,50,0.5,200,59.25112024
MEWMA,50,0.5,500,66.09173998
MEWMA,50,0.5,1000,70.979151
MEWMA,50,0.5,2000,75.77819095
MEWMA,50,0.6,100,54.09342074
MEWMA,50,0.6,200,59.39638808
MEWMA,50,0.6,500,66.30298006
MEWMA,50,0.6,1000,71.20601205
MEWMA,50,0.6,2000,76.02039052
MEWMA,50,0.7,100,54.15804848
MEWMA,50,0.7,200,59.469022
